tag_str rootfileName total_events xsec xsec_weight Legend
WJetsToLNu_HT-1200To2500_TuneCUETP8M1 Merged_WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_MC25ns_LegacyMC_20170328_0000_1.root 244532.0 1.329 0.195655374348 WJetsToLNu
ZJetsToNuNu_HT-600To800 Merged_ZJetsToNuNu_HT-600To800_13TeV-madgraph_MC25ns_LegacyMC_20170328_0000_1.root 5778081.0 2.559 0.0159437017238 ZJetsToNuNu
QCD_HT1500to2000_TuneCUETP8M1 Merged_QCD_HT1500to2000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_0000_1.root 3458950.0 119.9 1.24789314676 QCD
QCD_HT1000to1500_TuneCUETP8M1 Merged_QCD_HT1000to1500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_0000_1.root 4767100.0 1207.0 9.11497556166 QCD
GJets_HT-600ToInf_TuneCUETP8M1 Merged_GJets_HT-600ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_MC25ns_LegacyMC_20170328_0000_1.root 2463946.0 93.46 1.36551693909 GJets
WZTo2L2Q Merged_WZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8_0000_1.root 15879472.0 5.595 0.0126843008382 WZTo2L2Q
DYJetsToLL_M-50_HT-2500toInf_TuneCUETP8M1 Merged_DYJetsToLL_M-50_HT-2500toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_MC25ns_LegacyMC_20170328_0000_1.root 412334.0 0.003565 0.00031125252829 DYJetsToLL
ST_tW_antitop_5f_inclusiveDecays Merged_ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1_MC25ns_LegacyMC_20170328_0000_1.root 6933094.0 35.85 0.186150656547 ST
TTWJetsToQQ_TuneCUETP8M1 Merged_TTWJetsToQQ_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8_0000_1.root 394275.0 0.4062 0.0370888339357 TTWJetsToQQ
ZZTo2Q2Nu Merged_ZZTo2Q2Nu_13TeV_amcatnloFXFX_madspin_pythia8_0000_1.root 18470622.0 4.04 0.00787412573329 ZZTo2Q2Nu
WWTo1L1Nu2Q Merged_WWTo1L1Nu2Q_13TeV_amcatnloFXFX_madspin_pythia8_0000_1.root 3223676.0 49.997 0.558335266944 WWTo1L1Nu2Q
